# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1077.59,0.985221,0.0490109,3,7,0,1078.42,1.63454,7.60066,2.84461,3.3887,0.812884,0.187116
-1074.61,0.961281,0.0490109,2,7,0,1080.81,1.39685,7.61318,2.80521,2.91566,0.806512,0.193488
-1071.99,0.967109,0.0490109,3,7,0,1075.8,1.50173,7.59309,2.719,2.28986,0.829314,0.170686
-1073.41,0.910687,0.0490109,3,7,0,1073.9,1.60293,7.59801,2.71179,2.54855,0.811773,0.188227
-1071.98,0.847471,0.0490109,5,63,0,1077.03,0.600178,5.86747,2.39915,3.06034,0.655243,0.344757
-1071.73,0.996693,0.0490109,6,79,0,1075.51,0.203055,4.19821,2.15402,3.50266,0.451597,0.548403
-1074.04,0.948032,0.0490109,4,19,0,1077.32,1.32001,3.81185,2.73194,3.89368,0.458627,0.541373
-1077.13,0.844863,0.0490109,3,7,0,1077.69,1.28257,3.82519,2.98729,3.27191,0.440368,0.559632
-1074.2,0.901276,0.0490109,2,3,0,1078.43,1.20991,3.72842,2.63189,4.06433,0.451915,0.548085
-1076.75,0.978305,0.0490109,5,63,0,1079.07,1.75636,4.49938,3.32278,3.51384,0.745585,0.254415
-1076.11,0.991996,0.0490109,4,15,0,1079.6,1.67701,4.12577,3.28352,3.61088,0.654618,0.345382
-1078.16,0.842196,0.0490109,5,63,0,1082.97,1.03242,2.99008,2.09886,3.4793,0.375452,0.624548
-1074.62,0.997771,0.0490109,3,15,0,1078.45,1.18289,3.06338,2.08437,3.99893,0.327669,0.672331
-1074.23,0.985287,0.0490109,4,15,0,1075.57,1.10139,3.06126,2.17343,3.97457,0.307668,0.692332
-1074.57,0.952175,0.0490109,5,47,0,1076.43,-0.206339,5.11912,2.07935,2.84954,0.452553,0.547447
-1077.63,0.85458,0.0490109,3,7,0,1079.67,-0.151227,5.35357,2.24271,3.17133,0.438866,0.561134
-1072.39,0.992267,0.0490109,5,63,0,1081.43,1.17683,5.62987,2.57255,3.09747,0.66445,0.33555
-1072.31,0.823163,0.0490109,4,31,0,1077.06,1.0988,6.09538,2.78117,3.10453,0.693457,0.306543
-1072.42,0.999306,0.0490109,4,15,0,1073.4,0.870634,6.13938,2.6679,2.87197,0.738076,0.261924
-1072.8,0.966057,0.0490109,6,79,0,1074.07,1.46372,7.26276,2.75679,2.72053,0.783818,0.216182
-1071.97,0.988385,0.0490109,3,15,0,1074.81,1.16008,7.39064,2.61784,2.28024,0.758072,0.241928
-1071.14,0.909523,0.0490109,6,95,0,1074.1,0.203243,4.5141,2.42477,3.18611,0.469864,0.530136
-1071.94,0.881185,0.0490109,3,7,0,1074.12,0.159522,4.37312,2.40505,3.21167,0.502782,0.497218
-1071.56,0.794865,0.0490109,3,7,0,1075.11,0.178067,4.70555,2.36252,3.3063,0.45494,0.54506
-1073.76,0.950278,0.0490109,3,7,0,1074.79,0.251965,4.9266,2.15356,3.1059,0.43139,0.56861
-1076.34,0.946954,0.0490109,2,3,0,1076.9,0.311335,5.02182,2.25793,3.17133,0.407191,0.592809
-1073.28,0.982009,0.0490109,2,3,0,1076.98,0.223098,4.95892,2.17878,3.33346,0.446435,0.553565
-1071.97,0.994302,0.0490109,4,15,0,1073.99,0.090926,4.89931,2.32249,2.94138,0.470616,0.529384
-1071.9,0.997411,0.0490109,4,23,0,1072.59,0.773333,4.49514,2.42553,3.61353,0.537829,0.462171
-1072.8,0.916891,0.0490109,3,15,0,1074.59,0.788733,4.61665,2.41807,3.23929,0.482824,0.517176
-1072.6,0.992965,0.0490109,4,23,0,1073.94,0.28843,4.8096,2.26816,2.84688,0.563143,0.436857
-1071.73,0.953703,0.0490109,3,11,0,1074.54,0.222678,4.86092,2.40327,2.97205,0.554665,0.445335
-1073.09,0.905471,0.0490109,3,11,0,1074.41,0.272692,5.12054,2.454,3.13989,0.475666,0.524334
-1074.03,0.942703,0.0490109,4,23,0,1075.86,0.892856,5.02355,2.59471,3.79384,0.639074,0.360926
-1075.08,0.987197,0.0490109,3,7,0,1075.89,0.992795,4.77759,2.57623,2.91606,0.639773,0.360227
-1073.96,1,0.0490109,4,15,0,1076.14,0.943972,4.74553,2.67995,3.03397,0.534263,0.465737
-1075.74,0.96613,0.0490109,3,7,0,1077.29,0.765847,4.52234,2.48873,3.91067,0.6194,0.3806
-1073.94,0.998763,0.0490109,4,23,0,1077.07,0.665258,4.77634,2.59115,2.91694,0.500265,0.499735
-1073.13,0.985785,0.0490109,5,39,0,1076.04,1.01301,5.26516,2.50492,2.91375,0.67137,0.32863
-1072.64,0.913953,0.0490109,6,79,0,1077.66,-0.162723,3.99187,2.09155,3.08697,0.363521,0.636479
-1071.82,0.975315,0.0490109,3,15,0,1073.81,0.104077,4.18214,2.23416,3.53419,0.374081,0.625919
-1071.78,0.965683,0.0490109,3,15,0,1072.68,0.158165,4.09846,2.15069,3.35575,0.35801,0.64199
-1074.22,0.688393,0.0490109,3,7,0,1077.2,0.151874,4.19444,2.6841,3.23676,0.382073,0.617927
-1071.7,0.984342,0.0490109,3,7,0,1075.55,0.114763,4.17174,2.11126,3.49408,0.373065,0.626935
-1072.27,0.977312,0.0490109,6,63,0,1073.28,0.553528,3.54348,2.06306,3.54483,0.34219,0.65781
-1073.8,0.955917,0.0490109,4,19,0,1076.99,0.100776,3.60555,2.49107,3.38345,0.272803,0.727197
-1072.77,0.938454,0.0490109,3,15,0,1075.38,0.304372,3.23804,1.85783,3.69056,0.319168,0.680832
-1074.71,0.961206,0.0490109,5,63,0,1078.28,-0.311313,3.02527,1.4389,3.53672,0.114776,0.885224
-1076.95,0.788674,0.0490109,5,31,0,1079.23,-1.19733,3.04229,1.90165,3.26564,0.175985,0.824015
-1074.67,0.811745,0.0490109,4,15,0,1078.65,-0.810596,3.21207,1.70146,3.30784,0.197125,0.802875
-1075.82,0.438449,0.0490109,3,11,0,1080.57,-0.694839,3.19126,2.01812,3.18659,0.240282,0.759718
-1073.68,1,0.0490109,3,11,0,1076.5,-0.310447,3.6263,1.69305,3.37649,0.236255,0.763745
-1073.29,0.994143,0.0490109,3,7,0,1074.52,-0.219728,3.54464,1.69348,3.41404,0.231424,0.768576
-1072.61,0.914334,0.0490109,5,47,0,1075.35,0.839204,4.50043,2.5388,3.65047,0.476948,0.523052
